Camera Number,car,truck,bus,quadrant,camera_location,Camera_Number,URL,longitude,latitude,Current Date,Current Time,Day of Week
1,2.0,2.0,1.0,SW/SE,Glenmore Trail / Macleod Trail S,1,http://trafficcam.calgary.ca/loc0.jpg,-114.0715855,50.993989,03/27/2024,10:07,Wednesday
2,4.0,1.0,0.0,SE,Peigan Trail / Barlow Trail SE,2,http://trafficcam.calgary.ca/loc1.jpg,-114.0026887,51.0149725,03/27/2024,10:07,Wednesday
3,3.0,1.0,0.0,SE,50 Avenue / Barlow Trail SE,3,http://trafficcam.calgary.ca/loc2.jpg,-114.0018449,51.0086234,03/27/2024,10:07,Wednesday
4,6.0,0.0,0.0,NE,Memorial Drive / 52 Street E,4,http://trafficcam.calgary.ca/loc3.jpg,-113.9558182,51.053253,03/27/2024,10:07,Wednesday
5,1.0,0.0,0.0,NW,Kensington Road / Crowchild Trail NW,5,http://trafficcam.calgary.ca/loc4.jpg,-114.1180882,51.0524874,03/27/2024,10:07,Wednesday
6,2.0,0.0,0.0,SW,4 Avenue / 9 Street SW,6,http://trafficcam.calgary.ca/loc5.jpg,-114.0835215,51.0499601,03/27/2024,10:07,Wednesday
7,0.0,0.0,0.0,SW,Glenmore Trail / Elbow Drive SW (East),7,http://trafficcam.calgary.ca/loc6.jpg,-114.0842358,50.9939161,03/27/2024,10:07,Wednesday
8,16.0,0.0,0.0,SE,Stoney Trail / 52 Street SE,8,http://trafficcam.calgary.ca/loc7.jpg,-113.9537466,50.9040183,03/27/2024,10:07,Wednesday
9,8.0,0.0,1.0,SW/SE,Heritage Drive / Macleod Trail S,9,http://trafficcam.calgary.ca/loc8.jpg,-114.0717745,50.9793867,03/27/2024,10:07,Wednesday
10,2.0,1.0,0.0,SW/SE,Bannister Road / Macleod Trail S,10,http://trafficcam.calgary.ca/loc9.jpg,-114.0716512,50.9251547,03/27/2024,10:07,Wednesday
11,6.0,0.0,1.0,SE,130 Avenue / Deerfoot Trail SE,11,http://trafficcam.calgary.ca/loc10.jpg,-113.9750552,50.9319613,03/27/2024,10:07,Wednesday
12,4.0,1.0,1.0,SW/SE,149 Avenue / Macleod Trail S,12,http://trafficcam.calgary.ca/loc11.jpg,-114.0703057,50.9188866,03/27/2024,10:07,Wednesday
13,0.0,0.0,0.0,NE,McKnight Blvd / 52 Street NE,13,http://trafficcam.calgary.ca/loc12.jpg,-113.9582103,51.0958837,03/27/2024,10:07,Wednesday
14,0.0,0.0,0.0,SW,8 Avenue / 11 Street SW,14,http://trafficcam.calgary.ca/loc13.jpg,-114.0886408,51.046258,03/27/2024,10:07,Wednesday
15,1.0,0.0,0.0,SE,17 Avenue / 28 Street SE,15,http://trafficcam.calgary.ca/loc14.jpg,-113.9930839,51.0377477,03/27/2024,10:07,Wednesday
16,4.0,2.0,1.0,SW,Glenmore Trail / Crowchild Trail SW,16,http://trafficcam.calgary.ca/loc15.jpg,-114.1180484,51.0000379,03/27/2024,10:07,Wednesday
17,0.0,1.0,0.0,NW,24 Avenue / Crowchild Trail NW,17,http://trafficcam.calgary.ca/loc16.jpg,-114.1182195,51.0741894,03/27/2024,10:07,Wednesday
18,1.0,0.0,0.0,SE,Memorial Drive / Deerfoot Trail SE,18,http://trafficcam.calgary.ca/loc17.jpg,-114.0181691,51.0478522,03/27/2024,10:07,Wednesday
19,13.0,0.0,0.0,SE,17 Avenue / Deerfoot Trail SE,19,http://trafficcam.calgary.ca/loc18.jpg,-114.0050859,51.0368026,03/27/2024,10:07,Wednesday
20,1.0,0.0,0.0,SE,22 Avenue / Deerfoot Trail SE,20,http://trafficcam.calgary.ca/loc19.jpg,-113.9947155,51.0337749,03/27/2024,10:07,Wednesday
21,11.0,2.0,0.0,SE,34 Avenue / Deerfoot Trail SE,21,http://trafficcam.calgary.ca/loc20.jpg,-113.9998411,51.0232852,03/27/2024,10:07,Wednesday
22,0.0,0.0,0.0,SE,50 Avenue / 52 Street SE,22,http://trafficcam.calgary.ca/loc21.jpg,-113.958422,51.0088802,03/27/2024,10:07,Wednesday
23,0.0,0.0,0.0,NW,Crowchild Trail / Nosehill Drive NW,23,http://trafficcam.calgary.ca/loc22.jpg,-114.2024515,51.1200649,03/27/2024,10:07,Wednesday
24,1.0,0.0,0.0,SW,Southland Drive / 14 Street SW,24,http://trafficcam.calgary.ca/loc23.jpg,-114.0953543,50.9615719,03/27/2024,10:07,Wednesday
25,0.0,0.0,0.0,SW,Heritage Drive / 14 Street SW,25,http://trafficcam.calgary.ca/loc24.jpg,-114.094847,50.9795297,03/27/2024,10:07,Wednesday
26,0.0,0.0,0.0,SE,Stoney Trail / 88 Street SE,26,http://trafficcam.calgary.ca/loc25.jpg,-113.9072768,50.906454,03/27/2024,10:07,Wednesday
27,10.0,1.0,0.0,SW,5 Avenue btw 1 Street & 2 Street SW,27,http://trafficcam.calgary.ca/loc26.jpg,-114.06642,51.0484854,03/27/2024,10:07,Wednesday
28,13.0,3.0,0.0,SW/SE,Glenmore Trail / Macleod Trail S (West),28,http://trafficcam.calgary.ca/loc27.jpg,-114.071551,50.9939175,03/27/2024,10:07,Wednesday
29,3.0,0.0,0.0,SW,Glenmore Trail / 1A Street SW,29,http://trafficcam.calgary.ca/loc28.jpg,-114.0673324,50.9943602,03/27/2024,10:07,Wednesday
30,3.0,0.0,0.0,SE,114 Avenue / 52 Street SE,30,http://trafficcam.calgary.ca/loc29.jpg,-113.958331,50.9504395,03/27/2024,10:07,Wednesday
31,7.0,3.0,1.0,NE,Memorial Drive / Edmonton Trail NE,31,http://trafficcam.calgary.ca/loc30.jpg,-114.0501357,51.0508018,03/27/2024,10:07,Wednesday
32,6.0,1.0,1.0,SW/SE,42 Avenue / Macleod Trail S,32,http://trafficcam.calgary.ca/loc31.jpg,-114.0643126,51.0159099,03/27/2024,10:07,Wednesday
33,0.0,0.0,0.0,SE,6 Avenue / 1 Street SE,33,http://trafficcam.calgary.ca/loc32.jpg,-114.0606748,51.0472376,03/27/2024,10:07,Wednesday
34,1.0,0.0,0.0,SE,4 Avenue / Macleod Trail S,34,http://trafficcam.calgary.ca/loc33.jpg,-114.057837,51.0491958,03/27/2024,10:07,Wednesday
35,3.0,1.0,0.0,SE,11 Avenue / Macleod Trail S,35,http://trafficcam.calgary.ca/loc34.jpg,-114.0583524,51.042248,03/27/2024,10:07,Wednesday
36,0.0,0.0,0.0,NW,Memorial Drive / 10 Street NW,36,http://trafficcam.calgary.ca/loc35.jpg,-114.0858242,51.0519424,03/27/2024,10:07,Wednesday
